gesture,filename,hand,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
A,A_sample_1.jpg,Right,0.46233213,0.67854410,-0.00000081,0.61446822,0.71224058,-0.15893868,0.74149728,0.52657443,-0.20887700,0.73755956,0.31877103,-0.22693697,0.70671839,0.18998201,-0.22144762,0.65054077,0.30763492,-0.14228697,0.56531763,0.21443337,-0.26756245,0.55885804,0.37438521,-0.32808912,0.59158736,0.43491179,-0.35611925,0.51393920,0.30525154,-0.09532328,0.43243855,0.21579544,-0.21654922,0.46802980,0.42060751,-0.23215158,0.51587546,0.45590413,-0.22255243,0.40382633,0.32238832,-0.07047838,0.32631230,0.25544807,-0.19851188,0.36552149,0.44002050,-0.16080451,0.41842240,0.47928154,-0.10971615,0.31120375,0.34643376,-0.05751462,0.24905610,0.30801961,-0.14224362,0.27956113,0.43949255,-0.12227043,0.32323480,0.47431412,-0.08954567
A,A_sample_101.jpg,Right,0.43208504,0.75124407,-0.00000050,0.59615684,0.70019746,-0.02430997,0.72069764,0.55581623,-0.02273589,0.75769389,0.41821310,-0.02020869,0.68128377,0.35661191,-0.00729225,0.62633717,0.42051876,-0.00839762,0.61459494,0.32142410,-0.05789566,0.61179686,0.44230375,-0.08602885,0.61513716,0.50359863,-0.10141671,0.53048837,0.41640800,-0.01602010,0.52084780,0.31062096,-0.06526807,0.53763598,0.45451918,-0.07226118,0.54516053,0.50430673,-0.07168974,0.44291130,0.42603034,-0.03114302,0.43753541,0.32652420,-0.08188371,0.46343917,0.45903605,-0.06365924,0.47048727,0.51328176,-0.04322887,0.35751432,0.44214371,-0.04879309,0.36354065,0.36988437,-0.08172265,0.38791543,0.45304096,-0.06862286,0.39638963,0.49796817,-0.05413949
A,A_sample_103.jpg,Right,0.44435412,0.82771170,-0.00000022,0.62447286,0.71437413,-0.05601440,0.69756889,0.48783693,-0.07205103,0.67936599,0.30203813,-0.09069128,0.69619709,0.17155379,-0.10410261,0.57650077,0.37557992,-0.04669241,0.53042662,0.24828890,-0.14880659,0.55916029,0.36266482,-0.20609882,0.60774267,0.46483153,-0.23078105,0.44896141,0.42361060,-0.05935159,0.41629320,0.32044691,-0.17962848,0.48543340,0.46974713,-0.22532822,0.54164535,0.57856488,-0.23557135,0.33502042,0.49214730,-0.08505892,0.29537985,0.41177621,-0.21053281,0.38503778,0.56053030,-0.22285086,0.45467648,0.66633117,-0.20244706,0.22862044,0.57534170,-0.11333556,0.19185072,0.49882987,-0.20014577,0.26698819,0.59080464,-0.20898457,0.33704889,0.67146921,-0.19718987
A,A_sample_104.jpg,Right,0.53442401,0.74634385,-0.00000011,0.64227575,0.64045668,-0.05619890,0.65976632,0.46417597,-0.07634168,0.59210712,0.32457119,-0.09236954,0.54396242,0.23338446,-0.09678770,0.56425935,0.36231852,-0.02846870,0.49188986,0.28956509,-0.10525276,0.52621686,0.39583302,-0.14407842,0.57758230,0.45374775,-0.16163325,0.47639620,0.40779483,-0.03179102,0.42060989,0.32174838,-0.11862293,0.48381552,0.44234636,-0.14067970,0.53512216,0.49934319,-0.13735411,0.41050026,0.46860611,-0.04775958,0.35900232,0.39919224,-0.14626770,0.43674770,0.50967836,-0.14211786,0.49712723,0.56069207,-0.11365380,0.36259931,0.54319334,-0.06713153,0.33293405,0.49963361,-0.14067502,0.39418167,0.57024044,-0.14290394,0.44776037,0.60784018,-0.12630963
A,A_sample_109.jpg,Right,0.48880330,0.69377738,-0.00000053,0.56700772,0.61808437,-0.02348311,0.60473561,0.51164412,-0.03061084,0.58588886,0.41745117,-0.03662334,0.58185601,0.35544753,-0.03433605,0.51885128,0.44566077,-0.02915446,0.50683182,0.39018846,-0.06269585,0.52411622,0.46894446,-0.07314958,0.52699286,0.49295351,-0.07809108,0.44869524,0.46806577,-0.03357587,0.43985105,0.41643196,-0.06920370,0.47827446,0.50257981,-0.07245503,0.48218060,0.51449412,-0.07338898,0.39343870,0.50206512,-0.04142964,0.38147461,0.44328687,-0.08145002,0.42655975,0.52395016,-0.06321302,0.43295115,0.54278564,-0.04612805,0.34048864,0.53894091,-0.05060603,0.33636522,0.49270740,-0.07632542,0.37823373,0.53709847,-0.06214662,0.39121658,0.55427086,-0.04855200
A,A_sample_110.jpg,Right,0.46970227,0.66695935,-0.00000036,0.57317960,0.58123213,-0.02121910,0.63926804,0.48334891,-0.03440025,0.64965516,0.39453280,-0.04784621,0.58943665,0.35548726,-0.05549810,0.54635972,0.40242824,-0.03066483,0.54475009,0.35436669,-0.06893808,0.55397862,0.43369162,-0.08741608,0.55284435,0.47075015,-0.09804740,0.47102106,0.42246956,-0.04104779,0.46655110,0.37228471,-0.09324455,0.49510118,0.46835923,-0.10971463,0.50352597,0.50611734,-0.11742183,0.40717754,0.45586091,-0.05320359,0.40223822,0.41471907,-0.10121068,0.43897039,0.49912044,-0.08868044,0.45356569,0.53582793,-0.07358667,0.34770775,0.49380630,-0.06662702,0.34244329,0.45519251,-0.09111211,0.37807176,0.50452554,-0.07575000,0.39634162,0.52853608,-0.06228783
A,A_sample_111.jpg,Right,0.41382265,0.65294623,-0.00000064,0.54820788,0.60253829,-0.02873065,0.63818210,0.47311717,-0.03667264,0.64513421,0.33086807,-0.04310717,0.63480943,0.24369068,-0.03731306,0.58361429,0.36885113,-0.02245659,0.57800931,0.26943567,-0.06716231,0.56962383,0.37239549,-0.07449389,0.56987411,0.41163656,-0.07444161,0.49986100,0.36929905,-0.02921646,0.50262916,0.28510186,-0.07563629,0.50604081,0.41095936,-0.07226670,0.50976110,0.42353436,-0.06533282,0.42368010,0.38233277,-0.04303106,0.43365228,0.30681846,-0.10227390,0.44371235,0.42797470,-0.07637779,0.44275758,0.44530138,-0.04953570,0.34363326,0.40029195,-0.05823506,0.36885738,0.34891322,-0.10025755,0.38241088,0.42836484,-0.08337040,0.37447199,0.44753835,-0.06443768
A,A_sample_112.jpg,Right,0.46803743,0.78219610,-0.00000064,0.64901578,0.69828773,-0.05246701,0.76945043,0.53163421,-0.07745089,0.80164093,0.36238232,-0.10502885,0.77920955,0.23646127,-0.12543117,0.70085400,0.40665779,-0.02221167,0.69872308,0.31968290,-0.12523502,0.66411620,0.44308048,-0.18893199,0.64413744,0.54843342,-0.21546690,0.58235878,0.40215570,-0.03573570,0.59130782,0.29981226,-0.15279979,0.57475573,0.46477017,-0.19322513,0.56347501,0.58488405,-0.19656944,0.47643077,0.41666046,-0.06333187,0.47504005,0.32318234,-0.17362286,0.48299259,0.47814482,-0.16990353,0.48681545,0.58695644,-0.13865708,0.37362733,0.44257462,-0.09542771,0.37208197,0.35835153,-0.16180205,0.39072919,0.45313895,-0.15270153,0.40961882,0.53172529,-0.12982719
A,A_sample_113.jpg,Right,0.51785070,0.67074573,-0.00000067,0.65485799,0.61518085,-0.02139908,0.73999012,0.47844684,-0.02528885,0.74601907,0.33930320,-0.02970950,0.73666036,0.25255919,-0.02366768,0.68296510,0.38127938,-0.00764464,0.67692763,0.28802860,-0.05488899,0.66620600,0.38787627,-0.07001016,0.66360497,0.42942768,-0.07405233,0.60024118,0.37782556,-0.01655819,0.60110861,0.29543883,-0.06136740,0.60199374,0.41688576,-0.06110281,0.60697985,0.43564072,-0.05590221,0.52250147,0.38398713,-0.03295208,0.52863014,0.30466321,-0.08789644,0.53607798,0.42163181,-0.06170573,0.53841776,0.44481200,-0.03463129,0.44096226,0.39630911,-0.05040175,0.45995182,0.32961044,-0.08540350,0.47028452,0.40872994,-0.06319246,0.46460015,0.43665782,-0.04087110
A,A_sample_114.jpg,Right,0.45364258,0.75365019,-0.00000078,0.60709739,0.65817821,-0.04573198,0.68121779,0.46395564,-0.06217580,0.67744333,0.29886734,-0.08013207,0.66597158,0.18103369,-0.08852691,0.59732145,0.34511942,-0.03336013,0.59018379,0.24244411,-0.12151019,0.57532018,0.37061197,-0.16251910,0.56237757,0.46468747,-0.17418051,0.48393285,0.35942355,-0.04193848,0.47787231,0.27162766,-0.13591887,0.49445581,0.43429017,-0.15561324,0.50084919,0.51505446,-0.15120831,0.38323259,0.39492369,-0.06228080,0.36781389,0.29339457,-0.15646216,0.40278035,0.44942537,-0.13653791,0.42041045,0.52954179,-0.10093282,0.28765476,0.44432032,-0.08567802,0.26598245,0.34730437,-0.14677665,0.30318636,0.44041258,-0.13095033,0.32789072,0.50217664,-0.10470919
